messier_id,ngc_id,v_mag,type,comments,ra,dec,ref,is_up
,IC 1,,DS,STAR,0.14,27.717,,
,IC 10,10.3,Gx,GALAXY,0.34,59.3,,
,IC 100,,U,UNIDENTIFIED,1.382,-4.65,,
,IC 1000,14.0,Gx,GALAXY,14.328,17.85,,
,IC 1001,,U,UNIDENTIFIED,14.345,5.133,,
,IC 1002,,U,UNIDENTIFIED,14.345,5.183,,
,IC 1003,,U,UNIDENTIFIED,14.348,5.45,,
,IC 1004,,U,UNIDENTIFIED,14.348,17.65,,
,IC 1005,,U,UNIDENTIFIED,14.305,71.6,,
,IC 1006,15.0,Gx,GALAXY,14.383,23.783,,
,IC 1007,15.0,Gx,GALAXY,14.41,4.533,,
,IC 1008,,U,UNIDENTIFIED,14.417,28.333,,
,IC 1009,15.0,Gx,GALAXY,14.438,12.35,,
,IC 101,15.0,Gx,GALAXY,1.402,9.933,,
,IC 1010,15.0,Gx,GALAXY,14.455,1.033,,
,IC 1011,15.0,Gx,GALAXY,14.468,1.0,,
,IC 1012,,U,UNIDENTIFIED,14.453,30.983,,
,IC 1013,,U,UNIDENTIFIED,14.463,25.833,,
,IC 1014,13.0,Gx,GALAXY,14.472,13.783,,
,IC 1015,15.0,Gx,GALAXY,14.472,15.417,,
,IC 1016,,U,UNIDENTIFIED,14.48,4.833,,
,IC 1017,15.0,Gx,GALAXY,14.468,25.867,,
,IC 1018,14.0,Gx,GALAXY,14.472,25.85,,
,IC 1019,15.0,Gx,GALAXY,14.468,25.933,,
,IC 102,16.0,Gx,GALAXY,1.407,9.9,,
,IC 1020,15.0,Gx,GALAXY,14.48,26.033,,
,IC 1021,15.0,Gx,GALAXY,14.487,20.667,,
,IC 1022,15.0,Gx,GALAXY,14.5,3.767,,
,IC 1023,,U,UNIDENTIFIED,14.54,-35.8,,
,IC 1024,14.0,Gx,GALAXY,14.523,3.0,,
,IC 1025,15.0,Gx,GALAXY,14.525,7.067,,
,IC 1026,,SS,STAR,14.52,31.217,,
,IC 1027,,U,UNIDENTIFIED,14.497,53.95,,
,IC 1028,,U,UNIDENTIFIED,14.542,41.85,,
,IC 1029,,Gx,GALAXY,14.542,49.9,,
,IC 103,15.0,Gx,GALAXY,1.41,2.033,,
,IC 1030,,U,UNIDENTIFIED,14.562,31.7,,
,IC 1031,,U,UNIDENTIFIED,14.577,48.033,,
,IC 1032,,U,UNIDENTIFIED,14.578,47.95,,
,IC 1033,,U,UNIDENTIFIED,14.58,47.933,,
,IC 1034,16.0,Gx,GALAXY,14.62,14.667,,
,IC 1035,15.0,Gx,GALAXY,14.635,9.333,,
,IC 1036,16.0,Gx,GALAXY,14.638,18.117,,
,IC 1037,15.0,Gx,GALAXY,14.64,18.167,,
,IC 1038,15.0,Gx,GALAXY,14.657,11.917,,
,IC 1039,16.0,Gx,GALAXY,14.675,3.417,,
,IC 104,,DS,STAR,1.41,-1.45,,
,IC 1040,15.0,Gx,GALAXY,14.672,9.467,,
,IC 1041,,U,UNIDENTIFIED,14.677,3.35,,
,IC 1042,,U,UNIDENTIFIED,14.677,3.433,,
,IC 1043,,U,UNIDENTIFIED,14.678,3.35,,
,IC 1044,15.0,Gx,GALAXY,14.692,9.433,,
,IC 1045,,U,UNIDENTIFIED,14.678,42.75,,
,IC 1046,15.0,Gx,GALAXY,14.63,69.0,,
,IC 1047,16.0,Gx,GALAXY,14.707,19.167,,
,IC 1048,14.0,Gx,GALAXY,14.715,4.883,,
,IC 1049,,U,UNIDENTIFIED,14.66,62.033,,
,IC 105,16.0,Gx,GALAXY,1.412,2.083,,
,IC 1050,15.0,Gx,GALAXY,14.735,18.017,,
,IC 1051,15.0,Gx,GALAXY,14.737,19.017,,
,IC 1052,15.0,Gx,GALAXY,14.737,20.617,,
,IC 1053,15.0,Gx,GALAXY,14.76,16.95,,
,IC 1054,15.0,Gx,GALAXY,14.775,1.267,,
,IC 1055,,Gx,GALAXY,14.79,-13.733,,
,IC 1056,14.0,Gx,GALAXY,14.763,50.417,,
,IC 1057,,U,UNIDENTIFIED,14.767,50.367,,
,IC 1058,15.0,Gx,GALAXY,14.818,17.033,,
